Name Version
─────────────────────────────────────────────────────────────────────────────────
_libgcc_mutex 0.1
_openmp_mutex 4.5
_py-xgboost-mutex 2.0
alembic 1.12.0
anyio 4.0.0
argon2-cffi 23.1.0
argon2-cffi-bindings 21.2.0
arrow 1.3.0
asdf 2.15.0
asdf-standard 1.0.3
asdf-transform-schemas 0.3.0
asdf-unit-schemas 0.1.0
asttokens 2.4.0
async-lru 2.0.4
async_generator 1.10
atk-1.0 2.38.0
atomicwrites 1.4.1
attrs 23.1.0
awkward 2.1.4
awkward-cpp 15
babel 2.13.0
backcall 0.2.0
backports 1.0
backports.functools_lru_cache 1.6.5
backports.zoneinfo 0.2.1
bcrypt 4.0.1
beautifulsoup4 4.12.2
bleach 6.1.0
blinker 1.6.3
boost-histogram 1.3.2
brotli 1.1.0
brotli-bin 1.1.0
brotli-python 1.1.0
bzip2 1.0.8
c-ares 1.20.1
ca-certificates 2023.7.22
cached-property 1.5.2
cached_property 1.5.2
cairo 1.18.0
catboost 1.2.2
certifi 2023.7.22
certipy 0.1.3
cffi 1.16.0
charset-normalizer 3.3.0
click 8.1.7
colorama 0.4.6
comm 0.1.4
configurable-http-proxy 4.5.6
contourpy 1.1.1
cryptography 41.0.4
cycler 0.12.1
debugpy 1.8.0
decaylanguage 0.15.5
decorator 5.1.1
defusedxml 0.7.1
deprecated 1.2.14
distlib 0.3.7
entrypoints 0.4
exceptiongroup 1.1.3
executing 1.2.0
expat 2.5.0
filelock 3.12.4
font-ttf-dejavu-sans-mono 2.37
font-ttf-inconsolata 3.000
font-ttf-source-code-pro 2.038
font-ttf-ubuntu 0.83
fontconfig 2.14.2
fonts-conda-ecosystem 1
fonts-conda-forge 1
fonttools 4.43.1
fqdn 1.5.1
freetype 2.12.1
fribidi 1.0.10
gdk-pixbuf 2.42.10
gettext 0.21.1
giflib 5.2.1
graphite2 1.3.13
graphviz 8.1.0
greenlet 3.0.0
gtk2 2.24.33
gts 0.7.6
harfbuzz 8.2.1
hepstats 0.6.1
hepunits 2.3.2
hist 2.6.3
histoprint 2.4.0
icu 73.2
idna 3.4
iminuit 2.18.0
importlib-metadata 6.8.0
importlib-resources 6.1.0
importlib_metadata 6.8.0
importlib_resources 6.1.0
ipykernel 6.25.2
ipython 8.12.2
isoduration 20.11.0
jedi 0.19.1
jinja2 3.1.2
jmespath 1.0.1
joblib 1.3.2
js2py 0.74
json5 0.9.14
jsonpointer 2.4
jsonschema 4.17.3
jsonschema-with-format-nongpl 4.17.3
jupyter-lsp 2.2.0
jupyter_client 8.4.0
jupyter_core 5.4.0
jupyter_events 0.6.3
jupyter_server 2.7.3
jupyter_server_terminals 0.4.4
jupyter_telemetry 0.1.0
jupyterhub 4.0.2
jupyterhub-base 4.0.2
jupyterlab 4.0.7
jupyterlab_pygments 0.2.2
jupyterlab_server 2.24.0
keyutils 1.6.1
kiwisolver 1.4.5
krb5 1.21.2
lark 1.1.7
lcms2 2.15
ld_impl_linux-64 2.40
lerc 4.0.0
libblas 3.9.0
libbrotlicommon 1.1.0
libbrotlidec 1.1.0
